"Smith",399,1/22/2010,0,"Advising",0.75,1,0
"Smith",399,1/25/2010,0,"Advising",0.75,3,0
"Smith",399,1/26/2010,0,"Advising",0.75,3,1
"Smith",399,1/28/2010,1,"Advising",1.25,4,0
"Brown",400,1/26/2010,0,"IT/Web Development",1,1,0
"Brown",400,1/28/2010,0,"IT/Web Development",1,2,0
"Brown",400,2/1/2010,0,"IT/Web Development",1.25,3,1
"Brown",400,2/10/2010,0,"IT/Web Development",0.75,3,0
"Brown",400,2/11/2010,0,"IT/Web Development",3,3,0
"Brown",400,2/12/2010,0,"IT/Web Development",2.25,3,1
"Brown",400,2/15/2010,0,"IT/Web Development",1,3,0
"Brown",400,2/16/2010,0,"IT/Web Development",2.5,3,0
"Brown",400,2/17/2010,1,"IT/Web Development",2.25,4,0
"Brown",400,2/19/2010,1,"IT/Web Development",1,5,0
"Brown",400,2/3/2010,0,"IT/Web Development",1,3,0
"Brown",400,2/5/2010,0,"IT/Web Development",2.5,3,0
"Brown",400,2/8/2010,0,"IT/Web Development",3,3,0
"Smith",401,1/27/2010,0,"Data Analysis",1,1,0
"Smith",401,1/28/2010,0,"Data Analysis",0.75,2,0
"Smith",401,2/1/2010,0,"Data Analysis",0.75,3,0
"Smith",401,2/3/2010,0,"Data Analysis",2,3,0
"Smith",401,2/4/2010,1,"Data Analysis",1,4,0
"Smith",402,2/1/2010,0,"Data Analysis",0.75,1,0
"Smith",402,2/4/2010,0,"Data Analysis",2.5,3,0
"Smith",402,2/8/2010,1,"Data Analysis",0.75,4,0
"Jones",403,2/10/2010,0,"Study Coordination",1,3,0
"Jones",403,2/11/2010,0,"Study Coordination",2.75,3,1
"Jones",403,2/15/2010,0,"Study Coordination",1.75,3,1
"Jones",403,2/17/2010,0,"Study Coordination",1.75,3,0
"Jones",403,2/19/2010,0,"Study Coordination",2.75,3,0
"Jones",403,2/22/2010,0,"Study Coordination",2.75,3,0
"Jones",403,2/24/2010,0,"Study Coordination",1.25,3,0
"Jones",403,2/25/2010,0,"Study Coordination",2.5,3,0
"Jones",403,2/26/2010,0,"Study Coordination",1.5,3,0
"Jones",403,2/5/2010,0,"Study Coordination",1.5,1,0
"Jones",403,2/8/2010,0,"Study Coordination",1.75,2,0
"Jones",403,2/9/2010,0,"Study Coordination",1.25,2,0
"Jones",403,3/1/2010,0,"Study Coordination",3,3,1
"Jones",403,3/15/2010,1,"Study Coordination",2.25,4,0
"Jones",403,3/3/2010,0,"Study Coordination",1.75,3,0
"Jones",403,3/5/2010,0,"Study Coordination",1.25,3,0
"Smith",404,2/10/2010,0,"IT/Web Development",1.75,2,0
"Smith",404,2/11/2010,0,"IT/Web Development",1,2,0
"Smith",404,2/12/2010,0,"IT/Web Development",0.75,2,1
"Smith",404,2/15/2010,0,"IT/Web Development",0.75,2,0
"Smith",404,2/16/2010,0,"IT/Web Development",2,2,0
"Smith",404,2/17/2010,0,"IT/Web Development",1.5,3,0
"Smith",404,2/19/2010,0,"IT/Web Development",1.75,3,0
"Smith",404,2/22/2010,0,"IT/Web Development",3,3,0
"Smith",404,2/24/2010,0,"IT/Web Development",1.25,3,0
"Smith",404,2/25/2010,0,"IT/Web Development",2.25,3,0
"Smith",404,2/9/2010,0,"IT/Web Development",1.5,1,0
"Smith",404,3/1/2010,0,"IT/Web Development",1.5,3,0
"Smith",404,3/15/2010,0,"IT/Web Development",2.75,3,0
"Smith",404,3/17/2010,0,"IT/Web Development",0.75,3,1
"Smith",404,3/18/2010,0,"IT/Web Development",1.25,3,0
"Smith",404,3/2/2010,0,"IT/Web Development",1.25,3,0
"Smith",404,3/22/2010,1,"IT/Web Development",1,4,0
"Smith",404,3/23/2010,1,"IT/Web Development",0.75,5,0
"Smith",404,3/3/2010,0,"IT/Web Development",3,3,0
"Smith",404,3/4/2010,0,"IT/Web Development",1.5,3,0
"Brown",405,2/10/2010,0,"Advising",1,1,0
"Brown",405,2/12/2010,0,"Advising",0.75,3,0
"Brown",405,2/15/2010,1,"Advising",1,4,0
"Brown",406,2/12/2010,0,"Advising",1,1,0
"Brown",406,2/15/2010,0,"Advising",1,3,0
"Brown",406,2/16/2010,0,"Advising",0.75,3,0
"Brown",406,2/17/2010,1,"Advising",1.25,4,0
"Jones",407,2/15/2010,0,"Data Analysis",0.75,1,0
"Jones",407,2/16/2010,0,"Data Analysis",0.75,2,0
"Jones",407,2/19/2010,0,"Data Analysis",2.75,3,0
"Jones",407,2/22/2010,0,"Data Analysis",0.75,3,0
"Jones",407,2/25/2010,0,"Data Analysis",1,3,0
"Jones",407,3/1/2010,1,"Data Analysis",0.75,4,0
"Brown",408,2/17/2010,0,"Data Analysis",0.75,1,0
"Brown",408,2/19/2010,0,"Data Analysis",0.75,2,0
"Brown",408,2/22/2010,0,"Data Analysis",0.75,2,0
"Brown",408,2/24/2010,0,"Data Analysis",0.75,2,0
"Brown",408,2/25/2010,0,"Data Analysis",1.25,3,0
"Brown",408,3/1/2010,0,"Data Analysis",1.25,3,0
"Brown",408,3/3/2010,1,"Data Analysis",0.75,4,0
"Jones",409,2/18/2010,0,"Data Analysis",0.75,1,0
"Jones",409,2/22/2010,0,"Data Analysis",0.75,2,0
"Jones",409,2/23/2010,0,"Data Analysis",0.75,2,0
"Jones",409,2/26/2010,0,"Data Analysis",2.25,3,0
"Jones",409,3/1/2010,1,"Data Analysis",0.75,4,0
"Jones",409,3/3/2010,1,"Data Analysis",1,5,0
"Brown",410,2/18/2010,0,"Data Analysis",1,1,0
"Brown",410,2/19/2010,0,"Data Analysis",0.75,2,0
"Brown",410,2/22/2010,0,"Data Analysis",0.75,2,0
"Brown",410,2/23/2010,1,"Data Analysis",1,4,0
"Brown",410,2/24/2010,1,"Data Analysis",0.75,5,0
"Smith",411,2/22/2010,0,"Data Analysis",0.75,1,0
"Smith",411,2/23/2010,0,"Data Analysis",0.75,2,0
"Smith",411,2/24/2010,0,"Data Analysis",0.75,2,0
"Smith",411,2/26/2010,0,"Data Analysis",0.75,2,0
